plot_code,province,area_rai,month,qa,analysis_mode,coverage_pct,scenes_used,scene_ids,green_observed_rai,yellow_observed_rai,red_observed_rai,water_observed_rai,unknown_observed_rai,green_rai,yellow_rai,red_rai,mean_fcd_score
93-VSD,ปัตตานี,82.63,2026-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20260303T032539_R018_T47NQH_20260303T085226'],35.9559,46.6741,0.0,0.0,0.0,35.8007,46.4726,0.0,44.2796
93-VSD,ปัตตานี,82.63,2026-08,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20260805T032521_R018_T47NQH_20260805T083109'],63.5615,19.0685,0.0,0.0,0.0,63.2871,18.9861,0.0,57.7865
94-VSD,ปัตตานี,140.87,2024-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20240323T032519_R018_T47NQH_20240323T080736'],90.3541,50.5159,0.0,0.0,0.0,89.9641,50.2978,0.0,53.1676
94-VSD,ปัตตานี,140.87,2025-03,GOOD,single_scene_good,100.0,1,['S2A_MSIL2A_20250325T033151_R018_T47NQH_20250325T111922'],99.658,41.212,0.0,0.0,0.0,99.2278,41.0341,0.0,54.5335
94-VSD,ปัตตานี,140.87,2026-03,GOOD,single_scene_good,100.0,1,['S2B_MSIL2A_20260303T032539_R018_T47NQH_20260303T085226'],83.3606,57.5094,0.0,0.0,0.0,83.0007,57.2612,0.0,52.5101
94-VSD,ปัตตานี,140.87,2026-08,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20260805T032521_R018_T47NQH_20260805T083109'],117.3917,23.4783,0.0,0.0,0.0,116.8849,23.377,0.0,64.3902
95-VSD,ปัตตานี,200.38,2024-03,GOOD,single_scene_good,99.56,1,['S2B_MSIL2A_20240323T032519_R018_T47NQH_20240323T080736'],177.0815,22.4241,0.0,0.0,0.8745,177.0898,22.4251,0.0,65.2043
95-VSD,ปัตตานี,200.38,2025-03,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20250313T032541_R018_T47NQH_20250313T091913'],135.294,65.086,0.0,0.0,0.0,134.7099,64.805,0.0,54.3279
95-VSD,ปัตตานี,200.38,2026-03,GOOD,single_scene_good,98.07,1,['S2B_MSIL2A_20260303T032539_R018_T47NQH_20260303T085226'],127.3612,69.1461,0.0,0.0,3.8727,129.3106,70.2044,0.0,55.1266
95-VSD,ปัตตานี,200.38,2026-08,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20260805T032521_R018_T47NQH_20260805T083109'],195.0082,5.3718,0.0,0.0,0.0,194.1664,5.3486,0.0,70.2762
97-VSD,กระบี่,184.64,2024-03,GOOD,single_scene_good,100.0,1,['S2A_MSIL2A_20240321T033541_R061_T47NNJ_20240321T091057'],147.3744,27.9492,9.3164,0.0,0.0,146.1428,27.7157,9.2386,72.6627
97-VSD,กระบี่,184.64,2025-03,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20250316T033601_R061_T47NNJ_20250316T090315'],154.3148,21.1964,9.1288,0.0,0.0,153.0252,21.0193,9.0525,74.8974
97-VSD,กระบี่,184.64,2026-03,GOOD,single_scene_good,100.0,1,['S2C_MSIL2A_20260321T033541_R061_T47NNJ_20260321T090910'],152.0638,21.8842,10.692,0.0,0.0,150.7931,21.7013,10.6026,75.1584
97-VSD,กระบี่,184.64,2026-08,GOOD,single_scene_good,97.22,1,['S2B_MSIL2A_20260823T033529_R061_T47NNJ_20260823T072632'],154.7525,16.632,8.1284,0.0,5.1272,157.8423,16.9641,8.2907,75.1943
98-VSD,กระบี่,150.95,2024-03,GOOD,single_scene_good,99.05,1,['S2A_MSIL2A_20240321T033541_R061_T47NNJ_20240321T091057'],126.6233,20.6465,2.2455,0.0,1.4346,126.7701,20.6704,2.2481,75.2796
